informant,role_type,time,passage,provisional_logic,cultural_schema,dominant_logic,final_coding
H,Hybrid,1899-12-31 20:00:00,management believes we are doing solutions,>,SENIOR MANAGEMENT IS OUT OF TOUCH,,
H,Hybrid,20:13,there is no well defined path to do solutions,we need to think cross-functionally to develop truly innovative solutions,WE NEED TO OPERATE CROSS-FUNCTIONALLY TO DELIVER TRULY INNOVATIVE SOLUTIONS,,
H,Hybrid,21:00,so who gets the profit out of that?,we don't have the management reporting systems to do solutions,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,21:33,Simplify for Growth has tried to make some of those things easier,we are trying,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,21:43,its not trival,change is hard,CHANGE IS HARD,,
H,Hybrid,22:01,maybe one day we could pilot something….,if we could experiment even with small ideas we'd be more innovative,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,EXPERIMENT AND ITERATE,
H,Hybrid,22:16,…but we need larger scale pilots,we need at-scale pilot projects to prove out concepts,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,EXPERIMENT AND ITERATE,
H,Hybrid,22:34,"i would hope its just about showing people it can be done…once you show people how to do it they go, 'oh, that's how you do it…'",by showing how it can be done it might be done,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,EXPERIMENT AND ITERATE,
J,Digital,4:40,resistance to accepting something not invented in the local business unit,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,,
J,Digital,4:53,"vertical reinforced walls (as ITT ran the business), holing company running the whole business",holding company mentality reinforces walls between businesses,WE STILL HAVE A HOLDING COMPANY MINDSET AS A PURE WATER COMPANY,,
J,Digital,6:40,idea was one x-cloud at xylem properly funded and developed,we need one platform professionally developed,WE NEED A DIGITAL FACTORY,,
J,Digital,6:50,"every single growth center was trying to make their own (platform) with very poor maturity, undersupported, underfunded, full of bugs, not professionl",we need one platform professionally developed,WE NEED A DIGITAL FACTORY,,
J,Digital,7:46,"if we could have it as a symbiotic relationship, we do what we do best and they do what they do best","domain expertise creates synergy, quality and value (vs everyone doing their own thing)",WE NEED A DIGITAL FACTORY,,
J,Digital,8:06,"no one accounted for the human factor, the not invented here, the kill your own baby",local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,,
J,Digital,8:11,collaboration and cooperatoion (across groups) is hard,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,,
J,Digital,9:35,"we need to be driven by xylem - the digital transformation is at xylem, not sensus",we need to focus to get to digital transformation at mainline Xylem,WE NEED A DIGITAL FACTORY,,
J,Digital,11:13,there is a very low level of knowledge in xylem on how digital systems work,xylem does not fundamentally understand digital,WE NEED A DIGITAL FACTORY,,
J,Digital,11:40,lack of understanding of the difference between fundamental product development processes between physical products and digital products,xylem does not fundamentally understand digital,WE NEED A DIGITAL FACTORY,,
J,Digital,12:26,(digital us fundamentally different: story about investment and lowest possible cost vs scrum team),xylem does not fundamentally understand digital,WE NEED A DIGITAL FACTORY,,
J,Digital,14:04,2 year conversation for WI to adopt our gateways…we kept talking about them stopping developing their own gateways and use what we were decveloping for xylem…prototypical not invented here…until a conversation yesterday I was hitting a wall…,not invented here is rampant,LOCAL MINDSETS HOLD US BACK,,
J,Digital,16:11,"we're spending money developing devices with the same functionality too many times…and its underdeveloped, underperforming, under-resourced…",we waste resources and time duplicating efforts,LOCAL MINDSETS HOLD US BACK,,
J,Digital,16:25,in the digital world everything moves 10 times faster and there are companies that are much better than us and they are getting better,we are too slow,WE ARE TOO SLOW,,
J,Digital,18:11,eventually I can see xylem having a dumb pump growth center just making pumps and then to doesn’t matter who makes the pump…the value is in the digital controls,digital is where future value lies,OUR FUTURE IS DIGITAL,,
J,Digital,18:41,Flygt took almost 10 years to get to market (with electronic drive in pump with Invotech); that is not how you make a product,we are too slow,WE ARE TOO SLOW,,
J,Digital,19:47,"it took 5 years to have that conversation…(to have xylem drives coming from Cambridge coming into Goulds, Flygt, Lowara)…",holding company mentality reinforces walls between businesses,WE STILL HAVE A HOLDING COMPANY MINDSET AS A PURE WATER COMPANY,,
J,Digital,20:31,the root cause…is the headache of time being the root cause of people not willing to change; it doesn’t have to work that slow,people are slow to change,WE ARE TOO SLOW,,
J,Digital,21:01,"water industry is one of the least digitized in the world, even utilities",our markets are conservative,OUR INDUSTRY IS CONSERVATIVE,,
J,Digital,21:33,"we just need to adopt cleverly what's tried and tested, well tried and tested components, methodologies, etc., and we can be ahead of the water world",the bar for innovation in water is low,BUILD ONCE USE OFTEN,,
J,Digital,21:49,"resistance to change…not invented here, teams wanting to do their own thing because its fun engineering",engineers want to do fun things (why not invented here),LOCAL MINDSETS HOLD US BACK,,
J,Digital,22:17,"culture here is if i do it with my team i increase my budget, or if i let someone else do it I will lose my budget",having budget is having power and control,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
J,Digital,22:34,"from my point of view xylem has one bank account…i don't care about those divisions…others don't think like that (like me); they are thinking about their own little backyards, and that's where we lose quite a lot",local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,23:26,xylem thinks about hiow not to spend money and how to make money...how we can we get to 50% digital if we don't spend money...we have no chance of meeting that,we are financially driven to the detriment of all else,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
J,Digital,23:55,we should be investing (much more) in digital..we are well below industry standards…we can't do it without investing money...we have to r,we are worefully under-invested,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
J,Digital,24:00,we need to deliver better...,we need to be better at execution (of digital),WE DON'T TRUST OUR TECHNICAL PEOPLE,,
J,Digital,24:35,we have a history of buying companies,M&A as R&D,WE STILL HAVE A HOLDING COMPANY MINDSET AS A PURE WATER COMPANY,,
J,Digital,26:35,nobody has appetite to tell the shareholder that we are investing in digital...but investment would be made back quite quickly,we are not honest with our board,INNOVATION REQUIRES RESOURCES,,
J,Digital,27:08,nobody tells GCs not to spend money...i.e. Avensor,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,27:55,we have no digital PMs... We have 5% people who know digital PMs,we are a hardware company with hardware expertise...we don't have digital domain expertise,WE NEED A DIGITAL FACTORY,,
J,Digital,28:54,we need to have a digital enteroprise mentality from the top down,digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,CERTAINTY,
J,Digital,29:15,"we are not brave enough, we are too risk averse to say 'that needs to change' (stop doing local digital work)...not rocking the boad",digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,CERTAINTY,
J,Digital,30:25,"I would create one digital body...a digital factory, a digital growth center..all work on gateways etc would be done there...the buck stops with that DGS...and put people",digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,,
J,Digital,32:27,put people who move fast and are not afraid to take a little bit of risk in that DGC,we are too slow,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
J,Digital,33:15,DGS is positioned best to make requirements call...,digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,,
J,Digital,34:19,take 30-40% of the resources and spend it on remoiving duplication...,we have too much duplication of effort,WE NEED A DIGITAL FACTORY,,
J,Digital,35:06,by centralizing into a DGS they lose control (Avensor gateway example...),local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,36:08,they (WI/Avensor) want to develop all the functionality themselves,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,36:43,they think they will sell their solutions to others inside Xylem...stop being a child,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,36:59,everybody wants their own budgets...we never think can we pull together to make the pie bigger...,by owning your own budget you get ahead,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
J,Digital,37:55,everyone is always special...,local mentalities are what hold us back,LOCAL MINDSETS HOLD US BACK,FIRST-HAND KNOWLEDGE,
J,Digital,40:43,you develop digital components economically by focusing on reuse,good digital thinking focuses on reuse,BUILD ONCE USE OFTEN,,
M,Hybrid,13:20,"integration with XYL - much harder, bc XYL spend on R&D is 3 and a bit",we don't spend on R&D,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
M,Hybrid,13:45,large parts of the business don't account for the cost of labor...difficlult to engage with broader XYL,XYL has a different cost model,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
M,Hybrid,14:56,on the cultural side of things we have found it very hard dealing with the Swedish side of the company...they like to do things themselves,Swedish culture is insular...they are locally oriented,LOCAL MINDSETS HOLD US BACK,,
M,Hybrid,15:32,"..and they have to pay for our services here, there are too many barriers to collaboration",to innovate you have to reduce barriers,LOCAL MINDSETS HOLD US BACK,,
M,Hybrid,15:43,if you don't get written in to budgets you don't sell any work no matter how hard you try,budgets dictate collaboration opportunity,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
M,Hybrid,16:20,AWS has much less R&D and are very mechanically oriented...we can make a material difference to their team...they say us a means towards digital...,we can collaborate when there are no overlaps in skills,WE NEED TO OPERATE CROSS-FUNCTIONALLY TO DELIVER TRULY INNOVATIVE SOLUTIONS,,
M,Hybrid,17:20,we've embedded one of our team with Sensus...our value is thoroughly reconized,being embedded on the team (Sensus) is best for collaboration and value recognition,WE NEED TO OPERATE CROSS-FUNCTIONALLY TO DELIVER TRULY INNOVATIVE SOLUTIONS,,
M,Hybrid,18:22,"a lot of personal trust with Dave Heakey...if he says they will deliver something, they will",trust is based on delivery (say-do),TRUST IS WHAT YOU DELIVER,,
M,Hybrid,19:15,"we function very different than the rest of xylem...no other part of XYL has our matrix...or our technical project managers (matrix: when a project is initiated, TPM assembles team to operare that project)...",our (consultancy) model works because we can interweave projects with each other and is a much more efficient use of resources,THE CAMBRIDGE CONSULTING MODEL WORKS,,
M,Hybrid,21:00,its really good moving your technical team from one type of product to another because that gives fresh perspective...bc we can ask why questions,fresh perspective makes for better innovation because we can ask 'why',THE CAMBRIDGE CONSULTING MODEL WORKS,,
M,Hybrid,22:28,always try to recruit pedple who are better than you are,pushing and ambition is good (for innovation),INNOVATION REQUIRES CONVICTION,,
M,Hybrid,23:42,"better is more intelligent, ability to use latest tools, better thinker...they give you a better answer than you can think of","""better"" means better than you could come up with on your own",INNOVATION REQUIRES CONVICTION,,
M,Hybrid,24:46,we want to spread the cultural approach to innovation from here (Cambridge),entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,25:02,the processes and traditions in XYL stand in the way of that (entrep and risk),entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,25:18,the idea of doing something even if you didn't have the authority to do it is very much frowned upon inside XYL,entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,26:23,we find ways to break processes inside XYL but most people are not willing to do that (story of buying single component on credit card),entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,CERTAINTY/FINANCIAL PERFORMANCE FIRST,
M,Hybrid,26:43,risk in XYL prevents people from wanting to stand up and take ownership proactively...(versus here -- people are actively encouraged to go run with it)...at XYL everyone is really nervous about taking responsibilioty for something because they are worried about the consequences...people let go if it doesnt work...so everyone just plays it safe..,process precludes accountability and risk taking,PROCESS KILLS ACCOUNTABILITY,,
M,Hybrid,27:40,...and hide behind whatever processes are in place,process precludes accountability and risk taking,PROCESS KILLS ACCOUNTABILITY,,
M,Hybrid,30:40,XPD is extremely prescripive and its all about managing the risk at product launch and to extent the financial risk...,entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,31:18,"(at Sensus, prevailing belief)...we will ship this, and if it doesn’t work we will just give them our commitment to fix it...",if we give our word to fix something we will fix it because having angry customers does focus the mind,CUSTOMER INTIMACY AND DOMAIN KNOWLEDGE ARE OUR DEFENSE,,
M,Hybrid,31:47,"...that was our extended field test (50,000 meters that didnt work) to figure out that it didnt work, quickly",we are too slow,WE ARE TOO SLOW,,
M,Hybrid,31:54,they (sr mgt) are so amazinglyt risk averse,we are so risk averse,WE ARE AFRAID TO TAKE RISKS,ENTREPRENEUR,
M,Hybrid,32:09,will give them our word that we'll see them right (if a product comes back),if we give our word to fix something we will fix it because having angry customers does focus the mind,CUSTOMER INTIMACY AND DOMAIN KNOWLEDGE ARE OUR DEFENSE,,
M,Hybrid,33:35,I give her (Sivan) air cover and deflect any incoming flak,being entrepreneural means having authority,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,34:10,we don't have intrapreneurship because we have XIL creating external partnerships,external innovation kills internal innovation,EXTERNAL INNOVATION KILLS INTERNAL INNOVATION,,
M,Hybrid,34:46,big companies do struggle to be really really creative,real innovation is hard for big companies,BUREAUCRACIES KILL INNOVATION,,
M,Hybrid,35:15,we can't stifle internal developers (because we do have areas of expertise),XYL does have areas of expertise that need to be encouraged,EXTERNAL INNOVATION KILLS INTERNAL INNOVATION,,
M,Hybrid,36:36,there are too many parts of XYL to change to make our narrow part work,innovation challenges are cultural and systemic,INNOVATION CHALLENGES ARE CULTURAL,,
M,Hybrid,37:11,i would shake up all of R&D and make it a matrixed system...with TPM approach (genuinely cross-enterprise),our (consultancy) model works because we can interweave projects with each other and is a much more efficient use of resources,THE CAMBRIDGE CONSULTING MODEL WORKS,,
M,Hybrid,37:55,prioritization of development projects would be done properly...its a sham at the moment...but tool (Project On Line) allows us to compare projects against each other fairly,when we compare development projects fairly we can prioritiize,FAIR COMPARISONS ALLOW PRIORITIZATION,,
M,Hybrid,40:41,you want to fail projects at the appropriate point when they have enough maturity and understanding so you can decide if they have enough legs on them (place 10 best and a see),you need conviction and fundmental understanding of market direction to make good innovation bets,INNOVATION REQUIRES CONVICTION,,
M,Hybrid,42:15,we're still investing in fixed speed motors that only have a life of two or three years...we should get rid of them and invest in smaller more efficient motors...and be a bit bolder about it,we are financially driven to the detriment of all else,WE ARE DRIVEN BY FINANCIAL PRESSURE,FINANCIAL PERFORMANCE FIRST,
M,Hybrid,42:31,"you have to have a good spread across the whole lot (horizon 1, 2 and 3)",successful innovation means spreading out risk,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
M,Hybrid,42:48,"if you compare its spend against companies that are more digital, its not enough",we are worefully under-invested,WE DON'T SPEND ON R&D,,
M,Hybrid,43:31,we are selling to the wrong customers...we should be providing all the resources for all the construction going on...our understanding of customers is all wrong...(too many tiny little contracts),our understanding of markets and customers is all wrong -- we are too low on the value chain,WE ARE MISSING THE MARKET (SOLUTIONS),,
M,Hybrid,47:47,we sell large numbers of small contracts...we need to have proper strategic partnerships with industry and customers...,our understanding of markets and customers is all wrong -- we are too low on the value chain,WE ARE MISSING THE MARKET (SOLUTIONS),,
M,Hybrid,49:06,"he's had it kicked out of him (the big vision stuff)...it's all about save the pennies, make the numbers...people get it squashed out of them...",we are so short term,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,,
M,Hybrid,50:20,it is ok to take risk...its required,entrepreneurship and risk are essential to innovation,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
M,Hybrid,50:30,if we could be different we could win in the marke because our competitors are also quite safe,our industry is conservative,OUR INDUSTRY IS CONSERVATIVE,,
M,Hybrid,52:22,I understand how and why technical people are motivated,engineers want to do fun things (why not invented here),WE DON'T TRUST OUR TECHNICAL PEOPLE,,
M,Hybrid,52:56,you need to make sure you have the appropriate checks in place when you are investing large amounts of money,business management and innovation management are not the same,INNOVATION CHALLENGES ARE CULTURAL,,
M,Hybrid,53:30,we need processes thar are fit for purpose when it comes to services and software,processes should be fit for service,FIT PROCESSES TO NEED,,
Jo,Hybrid,8:13,there is a much bigger appetite for Xylem to go externally to look for innovation...extremely frustrating...we have a backlog of ideas that might only cost 1M of ideas,innovation has to be done externally,WE NEED TO INNOVATIVE FROM WITHIN,,
Jo,Hybrid,9:04,with the complexity we have...it is impossible to acquire a startup with 20 people and try to integrate them in a sustainable way...so we if we could drive more innovation from within...we have a higher likelihood to success with commercialization,we should innovate from inside the company because we can commercialize innovations,WE NEED TO INNOVATIVE FROM WITHIN,,
Jo,Hybrid,10:34,there are false assumptions about what we can do and not do,we don't know our own company (WRT innovation),WE NEED TO INNOVATIVE FROM WITHIN,,
Jo,Hybrid,11:08,we are innovative...and we feel left outside...because we are tainted by the mechanical legacy,we are innovative (Flygt) but misunderstood ,WE NEED TO INNOVATIVE FROM WITHIN,LOCAL,
Jo,Hybrid,11:45,digital is something we do on the side (Xylem attitude). I see it completely the opposite...innovation (in digital) needs to be integrated with what we are already doing,we should innovate from inside the company better integrate with existing products (e.g. h/w and s/w),WE NEED TO INNOVATIVE FROM WITHIN,,
Jo,Hybrid,12:09,customers don't care if its mechanical or digital; they want a solution to their problem,customers only wany solutions,IF WE LISTENED TO OUR CUSTOMERS WE WOULD BE SUCCESSFUL,,
Jo,Hybrid,14:06,(story of how to model wastewater network without needing army of engineers to install; i.e. no need for Emnet),we don't know our own company (WRT innovation),WE NEED TO INNOVATIVE FROM WITHIN,,
Jo,Hybrid,14:55,we took it from the customer perspective -- what is valuable for them (developed during pandemic because service teams couldn’t travel),customers only wany solutions,IF WE LISTENED TO OUR CUSTOMERS WE WOULD BE SUCCESSFUL,,
Jo,Hybrid,16:00,"we have some many ideas but we struggle to commercialize...even though we have ideas, we technology, and customers that want it, we still have a hard time releasing it to market and make money from it...because we have internal barriers to set up payment...we are so used to transcational ways of selling products...now you want insight on how your wastewater network operates...we have such a hard time setting that up...i don't know where roadblock is...","our processes (e.g. paymnent) only support products and transactions, not solutions",WE HAVE NO INFRASTRUCTURE FOR ENABLING SOLUTIONS,,
Jo,Hybrid,17:09,"we have too many ERP systems, i.e. in 120 different countries, so to implement (payment system for solutions) is complex, so we don't do it...the burdner and complexity becomes (the reason for not doing something)","our processes (e.g. paymnent) only support products and transactions, not solutions",WE HAVE NO INFRASTRUCTURE FOR ENABLING SOLUTIONS,,
Jo,Hybrid,17:35,we could just sign an agreement with PayPal and they could do it for us...there are solutions around it...,"our processes (e.g. paymnent) only support products and transactions, not solutions",WE HAVE NO INFRASTRUCTURE FOR ENABLING SOLUTIONS,,
Jo,Hybrid,17:50,...that's the risk / uncertainty... We don't dare to step outside normal ways of doing things,e don't dare to step outside normal ways of doing things,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
Jo,Hybrid,18:48,we had the customer as a partner throughtout...that is a way of doing development,customers who are accepting of innovation and iteration will help us succeed,IF WE LISTENED TO OUR CUSTOMERS WE WOULD BE SUCCESSFUL,,
Jo,Hybrid,20:03,we also have silos...lack of clarity on where we want to go...we talk about solutions but we are very GC mentality...we are XPD oriented...we need solution managers.,we are too siloed,WE ARE TOO COMPLEX,,
Jo,Hybrid,20:27,we are still very ROI oriented for 1 single product...and that's how we prioritize,we are too product focused,WE ARE TOO PRODUCT-CENTRIC,,
Jo,Hybrid,20:41,we need a systems architecture to know that the things we build stick together...,we need a systems architecture,WE NEED A DIGITAL FACTORY,,
Jo,Hybrid,21:05,we don't have an ecosystem to tie in to...so everything has to be builty from scratch,we need a systems architecture,WE NEED A DIGITAL FACTORY,,
Jo,Hybrid,22:00,"we don't get what we need to satisfy our customers, therefore we develop our own..",customers only wany solutions,IF WE LISTENED TO OUR CUSTOMERS WE WOULD BE SUCCESSFUL,,
Jo,Hybrid,22:15,if we don't get what we need (from central teams) we need to move on and create our own...(xcloud set us back one year... In the end we developed our own...and now we have something that works well),central teams are too removed from the customer,WE ARE TOO SLOW,,
Jo,Hybrid,23:55,Idrica is a sign we failed internally so we need to go outside (bc Xcloud didnt work),we have to go outside because we are too complex,WE ARE TOO COMPLEX,,
Jo,Hybrid,24:24,we need to figure our how our stuff interconnects to allow our partners to connect and add value to what we have done to allow our customers to connect and have a bigger ecosystem of services and products to choose from...but we are still too siloed ,to create an ecosystem we have to break silos,WE ARE TOO COMPLEX,,
Jo,Hybrid,24:55,there is a competition between the central teams and the business units (because our silos our successful we don't change)...but it creates tension with central teams...because the path forward is not very clear...because we don't see where we are going,we need a clear digital vision and strategy,WE NEED A DIGITAL VISION,,
Jo,Hybrid,26:01,i would rather create some value than wait for a vision (because we don't have a clear vision),without vision I operarte locally,WE NEED A DIGITAL VISION,,
Jo,Hybrid,26:51,siloes exist becase WIFM...(e.g. incentives for reuse),incentives drive alignment,WE DON'T WALK THE TALK (INCENTIVES),,
Jo,Hybrid,28:08,"there are no tangible actions to do it (collaborate), and we are too busy cleaning up our own backyard...we try to make sense in the space where we can actually make sense",things are so complex here we have to optimize for what's right in front of us,WE ARE TOO COMPLEX,,
Jo,Hybrid,30:08,we are in a bad hybrid situation... We need to decide...either become one company or not...or divide us...or have separate P&L for each...autonomy but strict control at the same time doesn’t work.,we need to decide what we want to be,AUTONOMY WITH STRICT CONTROL DOESN’T WORK,CERTAINTY,
Jo,Hybrid,31:26,there is no good or bad answer; it's just how you implement it (franchise vs centralized),no right answers; we need to act,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
Jo,Hybrid,32:44,maybe we shiould have created another business unit...a digital one,digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,,
Jo,Hybrid,33:07,"Xcloud was not forceful enough, we need a digital company...we need clarity there",digital thinking needs to be centralized from the top,WE NEED A DIGITAL FACTORY,,
Jo,Hybrid,33:31,I believe in platform ...,create an efficient and sustainable base for developing new solutions,STABLE FOUNDATION,,
Jo,Hybrid,33:31,... and reuse,create once use often,EFFICIENCY,,
Jo,Hybrid,34:24,"we have 1.9% R&D spend, and we make the majority (Flygt)",we don't spend on R&D,WE DON'T SPEND ON R&D,,
Jo,Hybrid,35:37,we need a diffirent organization with different KPIs and different incentives,incentives drive alignment,WE NEED A DIGITAL FACTORY,,
Jo,Hybrid,37:20,if I were to contact the customer it wouldn’t be appreciated...you have to go through the commercial team...not everyone is happy with R&D talking to customers,we have many layers,WE ARE TOO COMPLEX,,
Jo,Hybrid,39:25,CTs are kings and heroes and sell whatever they want (XYL never kills products),CTs have too much freedom,WE ARE AFRAID TO TAKE RISKS,FINANCIAL PERFORMANCE FIRST,
Jo,Hybrid,41:47,You need to run digital like a startup...,we need to function like a startup...,WE NEED TO BE FAST AND NIMBLE,,
Jo,Hybrid,41:47,(2) ..instead we do a little bit of both,we don't make hard decisions,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
Jo,Hybrid,43:06,"I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made in the center or take too long, so we are forced to act)",dare to decide!,WE ARE AFRAID TO TAKE RISKS,CERTAINTY,
Jo,Hybrid,45:00,the simillarities across all our businesses is we believe we are unique,we are siloed,WE ARE SILOED,,
B,Legacy,8:00,we can't tell the customer 'here's our product...we need to move the customer to a solution,solutions are the future,WE NEED TO SELL SOLUTIONS,,
B,Legacy,9:32,Innovation starts from the customer base...and is the intersection of responding to what they already know they want; optimizing their business; what they want but don't know how to get there,we need to be rigorous on how we think about the customer,WE NEED MARKET & CUSTOMER INSIGHT RIGOR,,
B,Legacy,11:28,There are 3 different versions of need; NPD is the intersection of 3 segments (reuse example),You can't lead the market...,OUR CUSTOMERS & MARKETS ARE RISK AVERSE,CERTAINTY,
B,Legacy,14:22,utility customers spend public money; they are constrained,You can't lead the market...customers can only spend so much,INNOVATION HAS TO MATCH NEED,CERTAINTY,
B,Legacy,16:09,most new solutions go out the window in our market (water industry is old school),You can't lead the market...customers won't by the new gadget,INNOVATION HAS TO MATCH NEED,CERTAINTY,
B,Legacy,17:19,eadh plant goes through their own process of selection...and it is very time consuming,our markets are complex and each plant (util) is unique...our markets are complex,INNOVATION HAS TO MATCH NEED,CERTAINTY,
B,Legacy,19:30,we need to pick the spot where we think (the need) is going to be real (real solutions),only regulation drives utilitities,INNOVATION HAS TO MATCH NEED,CERTAINTY,
B,Legacy,20:00,what works in one region doesn’t in another,only regulation drives utilitities,INDUSTRY REGULATION DRIVES THE MARKET ,CERTAINTY,
B,Legacy,23:51,"product roadmaps challenges by available spend, customer adaptability and use",we are in the business to make money; we need to optimize for return on investment,WE ARE HERE TO MAKE MONEY,FINANCIAL PERFORMANCE FIRST,
B,Legacy,29:24,what are we missing in the unaddressd 5B? (we don't really know our markets),we have blind spots in our markets...we can't make decisions based on a fragment of what we know in the market,WE NEED MARKET & CUSTOMER INSIGHT RIGOR,CERTAINTY,
B,Legacy,35:18,"what is my ""strike zone""?...",we need to reduce the number of unknowns (reduce exposure to risk),WE NEED MARKET & CUSTOMER INSIGHT RIGOR,CERTAINTY,
B,Legacy,35:18,will the remaining make the business case in 7 years?,make the business case,WE ARE HERE TO MAKE MONEY,FINANCIAL PERFORMANCE FIRST,
B,Legacy,39:23,"we need to be practical first; ask, 'why do you believe this can be sold again?'",we need product/market analysis rigor,WE NEED MARKET & CUSTOMER INSIGHT RIGOR,CERTAINTY,
B,Legacy,41:21,utilities are not seeking major innovation...if NPD makes only 50% of the business case...,our industry is conservative,INNOVATION CHALLENGES ARE CULTURAL,FINANCIAL PERFORMANCE FIRST/CERTAINTY,
B,Legacy,42:50,we know energy efficiency will be here forever...,invest in what we know will work,WE NEED TO INVEST IN WHAT WE KNOW WILL WORK,FINANCIAL PERFORMANCE FIRST/CERTAINTY,
B,Legacy,44:00,how many future regulatory frameworks are coming and how do we optimize?,only regulation drives utilitities,INNOVATION HAS TO MATCH NEED,CERTAINTY,
Ro,Legacy,8:01,tease out how people are working to get at pain points,we need to get actual customer issues,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,,
Ro,Legacy,11:22,the financial model is a proxy for many things -- how good is the idea; our ability to win; alignment to strategy,if it makes money it must be good,MAKING MONEY IS ULTIMATE STRATEGY VALIDATOR,FINANCIAL PERFORMANCE FIRST,
Ro,Legacy,12:20,we've been around and we just know the market...we use VOC just to stay on top of market trends,we know our market,WE KNOW OUR MARKET,,
Ro,Legacy,14:55,"people buy because of regulatory, to save money, or reduce risk",we know our market,OUR INDUSTRY IS CONSERVATIVE,,
Ro,Legacy,16:22,we trend more to what we hear rather than rethinking the entire system and world,our markets are conservative,OUR INDUSTRY IS CONSERVATIVE,,
Ro,Legacy,18:10,XYL like to inject the new into the busines (through M&A),M&A as R&D,INNOVATION IS BEST DONE BY OTHERS (VIA M&A),,
Ro,Legacy,20:00,bringing everyone along takes time; it's a process that doesn't happen overnight,because we are a collection of different cultures making something happen takes time,WE ARE COMPLEX BECAUSE OF OUR CULTURAL DIVERSITY ,,
Ro,Legacy,22:36,you can't drop the 'viable' in MVP,we can't go faster than our customers,OUR CUSTOMERS & MARKETS ARE RISK AVERSE,,
Ro,Legacy,24:06,aligment is a good prescription for XYL,because we are a collection of different cultures making something requires alignment,ALIGNMENT TAKES TIME -- WE HAVE TO GET EVERYONE (ACROSS THE BUSINESS) ON BOARD,,
Ro,Legacy,27:10,our 2016 strategy has been maintained; the main tenets have stayed,good strategy leads to growth and winning,GOOD STRATEGY LEADS TO GROWTH,,
